1991-02-11,平成3年,建国記念の日
1991-03-21,平成3年,春分の日
1991-04-29,平成3年,みどりの日
1991-05-03,平成3年,憲法記念日
1991-05-04,平成3年,国民の休日
1991-05-05,平成3年,こどもの日
1991-05-06,平成3年,振替休日
1991-09-15,平成3年,敬老の日
1991-09-16,平成3年,振替休日
1991-09-23,平成3年,秋分の日
1991-10-10,平成3年,体育の日
1991-11-03,平成3年,文化の日
1991-11-04,平成3年,振替休日
1991-11-23,平成3年,勤労感謝の日
1991-12-23,平成3年,天皇誕生日
1992-01-01,平成4年,元日
1992-01-15,平成4年,成人の日
1992-02-11,平成4年,建国記念の日
1992-03-20,平成4年,春分の日
1992-04-29,平成4年,みどりの日
1992-05-03,平成4年,憲法記念日
1992-05-04,平成4年,振替休日
1992-05-05,平成4年,こどもの日
1992-09-15,平成4年,敬老の日
1992-09-23,平成4年,秋分の日
1992-10-10,平成4年,体育の日
1992-11-03,平成4年,文化の日
1992-11-23,平成4年,勤労感謝の日
1992-12-23,平成4年,天皇誕生日
1993-01-01,平成5年,元日
1993-01-15,平成5年,成人の日
1993-02-11,平成5年,建国記念の日
1993-03-20,平成5年,春分の日
1993-04-29,平成5年,みどりの日
1993-05-03,平成5年,憲法記念日
1993-05-04,平成5年,国民の休日
1993-05-05,平成5年,こどもの日
1993-06-09,平成5年,皇太子・徳仁親王の結婚の儀
1993-09-15,平成5年,敬老の日
1993-09-23,平成5年,秋分の日
1993-10-10,平成5年,体育の日
1993-10-11,平成5年,振替休日
1993-11-03,平成5年,文化の日
1993-11-23,平成5年,勤労感謝の日
1993-12-23,平成5年,天皇誕生日
1994-01-01,平成6年,元日
1994-01-15,平成6年,成人の日
1994-02-11,平成6年,建国記念の日
1994-03-21,平成6年,春分の日
1994-04-29,平成6年,みどりの日
1994-05-03,平成6年,憲法記念日
1994-05-04,平成6年,国民の休日
1994-05-05,平成6年,こどもの日
1994-09-15,平成6年,敬老の日
1994-09-23,平成6年,秋分の日
1994-10-10,平成6年,体育の日
1994-11-03,平成6年,文化の日
1994-11-23,平成6年,勤労感謝の日
1994-12-23,平成6年,天皇誕生日
1995-01-01,平成7年,元日
1995-01-02,平成7年,振替休日
1995-01-15,平成7年,成人の日
1995-01-16,平成7年,振替休日
1995-02-11,平成7年,建国記念の日
1995-03-21,平成7年,春分の日
1995-04-29,平成7年,みどりの日
1995-05-03,平成7年,憲法記念日
1995-05-04,平成7年,国民の休日
1995-05-05,平成7年,こどもの日
1995-09-15,平成7年,敬老の日
1995-09-23,平成7年,秋分の日
1995-10-10,平成7年,体育の日
1995-11-03,平成7年,文化の日
1995-11-23,平成7年,勤労感謝の日
1995-12-23,平成7年,天皇誕生日
1996-01-01,平成8年,元日
1996-01-15,平成8年,成人の日
1996-02-11,平成8年,建国記念の日
1996-02-12,平成8年,振替休日
1996-03-20,平成8年,春分の日
1996-04-29,平成8年,みどりの日
1996-05-03,平成8年,憲法記念日
1996-05-04,平成8年,国民の休日
1996-05-05,平成8年,こどもの日
1996-05-06,平成8年,振替休日
1996-07-20,平成8年,海の日
1996-09-15,平成8年,敬老の日
1996-09-16,平成8年,振替休日
1996-09-23,平成8年,秋分の日
1996-10-10,平成8年,体育の日
1996-11-03,平成8年,文化の日
1996-11-04,平成8年,振替休日
1996-11-23,平成8年,勤労感謝の日
1996-12-23,平成8年,天皇誕生日
1997-01-01,平成9年,元日
1997-01-15,平成9年,成人の日
1997-02-11,平成9年,建国記念の日
1997-03-20,平成9年,春分の日
1997-04-29,平成9年,みどりの日
1997-05-03,平成9年,憲法記念日
1997-05-05,平成9年,こどもの日
1997-07-20,平成9年,海の日
1997-07-21,平成9年,振替休日
1997-09-15,平成9年,敬老の日
1997-09-23,平成9年,秋分の日
1997-10-10,平成9年,体育の日
1997-11-03,平成9年,文化の日
1997-11-23,平成9年,勤労感謝の日
1997-11-24,平成9年,振替休日
1997-12-23,平成9年,天皇誕生日
1998-01-01,平成10年,元日
1998-01-15,平成10年,成人の日
1998-02-11,平成10年,建国記念の日
1998-03-21,平成10年,春分の日
1998-04-29,平成10年,みどりの日
1998-05-03,平成10年,憲法記念日
1998-05-04,平成10年,振替休日
1998-05-05,平成10年,こどもの日
1998-07-20,平成10年,海の日
1998-09-15,平成10年,敬老の日
1998-09-23,平成10年,秋分の日
1998-10-10,平成10年,体育の日
1998-11-03,平成10年,文化の日
1998-11-23,平成10年,勤労感謝の日
1998-12-23,平成10年,天皇誕生日
1999-01-01,平成11年,元日
1999-01-15,平成11年,成人の日
1999-02-11,平成11年,建国記念の日
1999-03-21,平成11年,春分の日
1999-03-22,平成11年,振替休日
1999-04-29,平成11年,みどりの日
1999-05-03,平成11年,憲法記念日
1999-05-04,平成11年,国民の休日
1999-05-05,平成11年,こどもの日
1999-07-20,平成11年,海の日
